marca;familia;tipo;unidade;qtd;capacidade_tanque_L;media_esperada;tolerancia_pct;ref_tanque_p95_L;ref_media_historica;veiculos_com_historico;modelos_incluidos;exemplos
VOLKSWAGEM;24.280;Caçamba;L/h;1;;;;;;0;24.280 CRM 6X2;TZN-CAM3
VOLKSWAGEM;OUTROS;Automóvel;Km/L;1;;;;500;;0;OUTROS;MAK2025
Volkswagen;8-150;Caminhão Carroceria;L/h;1;;;;124;;0;8-150 DELIVERY;RE449
VOLKSWAGEN;17310;Caçamba Truckado;L/h;1;;;;;;0;17310;IKX2A39
VOLKSWAGEN;24.250C;Caçamba Bitruck;L/h;1;;;;;;0;24.250C PMERECHIM 8X2;IRU6F51
VOLKSWAGEN;26.280;Caçamba Traçado;L/h;1;;;;344;;0;26.280 CRM 6X4;IUD1A97
VOLKSWAGEN;26220;Caçamba Truckado;L/h;1;;;;;;0;26220;EGC2D24
VOLKSWAGEN;31370;Caçamba Traçado;L/h;1;;;;;;0;31370;IPS7B63
VOLKSWAGEN;DIVERSOS;Automóvel;Km/L;1;;;;200;;0;DIVERSOS;VAL2025
VOLVO;EC 210;Escavadeira;L/h;1;;;;;;0;EC 210;ec210blc JAVALI
VOLVO;FH 380;Caçamba Truckado;L/h;1;;;;;;0;FH 380;ORJ7B21
VOLVO;VM 260;Caçamba Truckado;L/h;1;;;;340;;0;VM 260 6X2R;MJT3G99
VOLVO;VM 260;Caçamba;L/h;1;;;;;;0;VM 260 6X2R;TZN-CAM6
VW;23.210;Caçamba;L/h;1;;;;;;0;23.210;IKU1G26
VW;31.320;Caçamba;L/h;1;;;;;;0;31.320 CNC;IQD3B60
YUNDAI;210;Escavadeira;L/h;1;;;;;;0;210 LC_7;ESC 8
