marca;familia;tipo;unidade;qtd;capacidade_tanque_L;media_esperada;tolerancia_pct;ref_tanque_p95_L;ref_media_historica;veiculos_com_historico;modelos_incluidos;exemplos
FOTON;3.5;Caminhão Carroceria;L/h;2;1000;;20;1000;;0;3.5 11DT 4X2;RE559 / RE558
HONDA;CG 150;Moto;Km/L;2;15;30;20;15;32.27;2;CG 150 HONDA FAN / CG 150 TITAN KS;RE549 / RE624
INTERNATIONAL;4400;Caçamba Traçado;L/h;2;;;;;;0;4400 6X4;OBS0F12 / OBO2G24
KOMATSU;GD555-3;Motoniveladora;L/h;2;340;20;20;215;5.03;2;GD555-3;RE494 / RE475
LIUGONG;4180D;Motoniveladora;L/h;2;300;25;20;252;17.29;1;4180D;RE605 / RE604
LOCAÇÃO;PEDERIVA;Trator Esteira;L/h;2;;;;266;6.11;1;PEDERIVA;TRATOR / TRATOR2
MERCEDES;1113;Caçamba Toco;L/h;2;150;6;20;;;0;1113;RE473 / RE459
MERCEDES;ONIBUS;Caminhão Carroceria;L/h;2;150;6;20;;;0;ONIBUS MOTOR CASA;RE514 / RE515
MERCEDES-BENZ;2423;Caçamba Truckado;L/h;2;275;6;20;;;0;2423 K;ILQ0G90 / EBQ4C93
MITSUBICHI;L200;Camionete;Km/L;2;75;7;20;59;8.00;1;L200 4X4 GLS / L200 OUTDOOR;RE525 / RE626
PRIME TECH;PT400;Fresadora;L/h;2;400;60;20;;;0;PT400;RE184 / RE284
RANDON;CAÇAMBA;Semirreboques;Km/L;2;;;;;;0;CAÇAMBA LS;RE812 / RE480
RENAULT;DUSTER;Camionete;Km/L;2;50;10;20;45;14.15;1;DUSTER OROCH EXPRESS 1.6;RE545 / RE521
SANY;SY365;Escavadeira;L/h;2;680;60;20;519;14.66;2;SY365 36,5T;RE742 / RE432
TOYOTA;HILUX;Camionete;Km/L;2;80;6;20;79;7.77;1;HILUX CD4X4 SVR / HILUX SWDMDA4MD;RE744 / RE710
Volkswagen;26-320;Caçamba Truckado;L/h;2;275;6;20;217;7.55;2;26-320 6X2 COSTELLATION;RE651 / RE652
Volkswagen;29-530;Caminhão Prancha;Km/L;2;600;3;20;761;1.95;2;29-530 6X4 METEOR / 29-530 MTM 6X4;RE777 / RE790
VOLKSWAGEN;AMAROK;Camionete;Km/L;2;80;7;20;79;;0;AMAROK CD 4X4 COMF / AMAROK CD 4X4 SE;RE592 / RE842
VOLKSWAGEN;GOL;Automóvel;Km/L;2;55;10;20;50;11.11;2;GOL 1.6 POWER GIV;RE611 / RE612
XCG;230LC-8;Escavadeira;L/h;2;400;20;20;400;3.68;1;230LC-8 22T;RE476 / RE853
XCMG;XS80PD;Rolo;L/h;2;140;8;20;;;0;XS80PD;RE338 / RE355
VOLKSWAGEN;24-280;Caçamba Bitruck;L/h;1;275;6;20;221;;0;24-280 CONSTEL. 8X2;RE517
ARTESANAL;TANQUE;Semirreboques;Km/L;1;;;;;;0;TANQUE 3E;RE614
CAT;120H;Motoniveladora;L/h;1;340;25;20;;;0;120H;RE440
CAT;313;Escavadeira;L/h;1;250;25;20;229;15.87;1;313 D2GC 13,5T;RE520
CAT;320GC;Escavadeira;L/h;1;345;50;20;210;;0;320GC 20,4T;RE596
CAT;323;Escavadeira;L/h;1;345;50;20;291;20.16;1;323 22,9T;RE809
CAT;CC34B;Rolo;L/h;1;57;8;20;100;;0;CC34B;RE603
CAT;CS531D;Rolo;L/h;1;180;12;20;200;24.44;1;CS531D;RE493
CAT;D5C;Trator Esteira;L/h;1;255;20;20;200;2.82;1;D5C;RE771
CAT;H120CC;Semirreboques;Km/L;1;340;25;20;;;0;H120CC;RE852 (MARTELETE)
CATERPILLAR;320GC;Escavadeira;L/h;1;345;50;20;300;9.41;1;320GC 20,4T;RE602
CATERPILLAR;336;Escavadeira;L/h;1;600;60;20;480;26.26;1;336 37,5T;RE747
CATERPILLAR;BOB;Pá Carregadeira;L/h;1;90;10;20;200;3.15;1;BOB CAT VARREDEIRA;RE609
CATERPILLAR;D7;Trator Esteira;L/h;1;479;25;20;;;0;D7;RE581
CATERPILLAR;H120CC;Escavadeira;L/h;1;340;25;20;;;0;H120CC;RE827 (MARTELETE)
CATERPILLAR;D5;Trator Esteira;L/h;1;255;20;20;200;12.97;1;D5;RE824
CHANGLIN;PY165H;Motoniveladora;L/h;1;280;20;20;;;0;PY165H;RE333
CHEVROLET;D-20;Camionete;Km/L;1;88;6;20;57;;0;D-20 CUSTOM S;RE697
CHEVROLET;D-60;Caminhão Pipa;L/h;1;;;;;;0;D-60 PICHE;RE630
CHEVROLET;PRISMA;Automóvel;Km/L;1;54;12;20;46;;0;PRISMA 1.4L LT;RE623
DAF;XF 105;Cavalo;L/h;1;500;6;20;646;20.57;1;XF 105 FTT 510 6X4;RE580
DOOSAN;DX225LCA;Escavadeira;L/h;1;400;25;20;200;3.30;1;DX225LCA 22,5T;RE487
ECAVADEIRA;DEVENS;Escavadeira;L/h;1;;;;;;0;DEVENS;ESC 6
ESCAVADEIRA;CONTE;Escavadeira;L/h;1;;;;;;0;CONTE;ESC 5
ESCAVADEIRA;DEVENS;Escavadeira + Rompedor;L/h;1;;;;;;0;DEVENS;ESC 4
FERREIRA RFA CARRETÃO;R/FERREIRA;Semirreboques;Km/L;1;;;;;;0;R/FERREIRA RFA 02;RE 687
FIAT;FIORINO;Camionete;Km/L;1;55;10;20;50;;0;FIORINO 1.4 FLEX;RE766
FIAT-ALLIS;FG85;Motoniveladora;L/h;1;250;25;20;;;0;FG85;RE491
FIAT-ALLIS;HD14;Trator Esteira;L/h;1;250;20;20;;;0;HD14;RE743
FORD;2428E;Caminhão Carroceria;L/h;1;;;;;;0;2428E PRANCHA;RE223 CANOAS
FORD;3224;Caminhão Pipa;L/h;1;150;6;20;143;;0;3224 TRUCKADO;RE510
FORD;4532E;Caçamba Toco;L/h;1;250;6;20;236;;0;4532E 4X2;RE486
FORD;815E;Caminhão Carroceria;L/h;1;1000;;20;1700;;0;815E COMBOIO LAJEADO;RE686
FORD;CARGO;Caminhão Pipa;L/h;1;275;6;20;224;0.33;1;CARGO 4030;RE433
FORD;COURIER;Camionete;Km/L;1;68;12;20;62;15.64;1;COURIER L 1.6 FLEX;RE534
FORD;F-150;Camionete;Km/L;1;150;6;20;;;0;F-150 TREMOR 4X4 5.0 V8;RE888
FORD;F-4000;Caminhão Carroceria;L/h;1;2500;;20;7000;;0;F-4000;RE518
FORD;F14000;Caminhão Pipa;L/h;1;;;;;;0;F14000;RE815
FORD (CODIGO DO RADIO. 6104);F-4000;Caminhão Carroceria;L/h;1;2000;;20;2000;0.15;1;F-4000 COMBOIO S. GABRIEL;RE546
HONDA;CG125;Moto;Km/L;1;15;30;20;;;0;CG125 FAN;RE553
IVECO;2,40E+27;Caçamba Truckado;L/h;1;270;6;20;226;0.63;1;240E25 6X2 TECTOR;RE681
IVECO;380-T42;Caçamba Traçado;L/h;1;400;6;20;189;;0;380-T42 6X4;RE561
IVECO;570S41T;Caminhão Prancha;Km/L;1;600;3;20;736;2.31;1;570S41T STRALLIS;RE613
IVECO;EUROTECH;Cavalo;L/h;1;400;6;20;435;10.95;1;EUROTECH TZ 740 E42;RE490
IVECO;STRALIHD;Caçamba Truckado;L/h;1;600;6;20;;;0;STRALIHD 570S38T;IQN9F82
IVECO;TECTOR;Caçamba Traçado;L/h;1;400;6;20;234;8.22;1;TECTOR 27-320 6X4;RE813
JCB;220;Escavadeira;L/h;1;343;20;20;200;11.11;1;220 TO 22,1T;RE811
KOMATSU;PC200-8;Escavadeira;L/h;1;400;20;20;;;0;PC200-8 21T;RE441
LAVRALE;MOD.150MF;Semirreboques;Km/L;1;;;;;;0;MOD.150MF;RE421 ROÇADEIRA
LIBRELATO;CAÇAMBA;Semirreboques;Km/L;1;;;;;;0;CAÇAMBA SR3E;RE472
LIU GONG;LGB135;Escavadeira;L/h;1;240;20;20;;;0;LGB135;RE625 (MARTELETE)
LOCADO;PEDERIVA;Escavadeira;L/h;1;;;;345;15.91;1;PEDERIVA;NEW HOLLAND
MASSEY FERGUSON;4275;Trator;L/h;1;75;8;20;;;0;4275;RE379
MERCEDES;1113;Caminhão Pipa;L/h;1;150;6;20;;;0;1113;RE509
MERCEDES;1113;Caminhão Tanque;L/h;1;150;6;20;;;0;1113 PICHE;RE502
MERCEDES;1519;Caminhão Pipa;L/h;1;210;6;20;;;0;1519;RE462
MERCEDES;1618;Caminhão Pipa;L/h;1;210;6;20;226;;0;1618;RE448
MERCEDES;1634;Caçamba Truckado;L/h;1;300;6;20;470;6.55;1;1634;RE437
MERCEDES;1935;Cavalo;L/h;1;300;6;20;;;0;1935;RE474
MERCEDES;2325;Caçamba Traçado;L/h;1;210;6;20;200;17.33;1;2325;RE457
MERCEDES;2425;Caçamba Truckado;L/h;1;275;6;20;223;0.40;1;2425 6X2 ATEGO;RE752
MERCEDES;2426;Caçamba Truckado;L/h;1;275;6;20;223;;0;2426 6X2 ATEGO;RE753
MERCEDES;2540;Caçamba Truckado;L/h;1;300;6;20;400;1.12;1;2540 AXOR 6X2;RE575
MERCEDES;3340;Caçamba Traçado;L/h;1;300;6;20;303;;0;3340 6X4;RE507
MERCEDES;3340;Caminhão Tanque;L/h;1;300;6;20;491;;0;3340 AXOR MDR 6X4;RE564
MERCEDES;3344;Caçamba Traçado;L/h;1;300;6;20;260;10.69;1;3344 6X4;RE504
MERCEDES;LK1313;Caçamba Toco;L/h;1;150;6;20;120;3.97;1;LK1313;RE267
MERCEDES-BENZ;L 1620;Caçamba Truckado;L/h;1;210;6;20;;;0;L 1620 - TER. ARAMBARÉ CLÉBI;TER. 1
MERCEDES-BENZ;LS 1525;Caçamba Truckado;L/h;1;300;6;20;;;0;LS 1525;BWB2J62
MULLER;AP26;Rolo;L/h;1;100;10;20;;;0;AP26 PNEUS;RE498
RANDON;PRANCHA;Semirreboques;Km/L;1;;;;;;0;PRANCHA LS;RE810
RANDON;RANDON;Semirreboques;Km/L;1;;;;;;0;RANDON SR BA 03E;RE791
RENAULT;OROCH;Automóvel;Km/L;1;50;10;20;43;11.85;1;OROCH PRO 16;RE855
RODOKINHO;PRANCHA;Semirreboques;Km/L;1;;;;;;0;PRANCHA;RE537
RODOVALE;PRANCHA;Semirreboques;Km/L;1;;;;;;0;PRANCHA LS;RE224
SANY;SY235;Escavadeira;L/h;1;340;20;20;200;7.38;1;SY235 23,5T;RE429
SANY (PÉRCIO);36 T;Escavadeira;L/h;1;680;60;20;424;;0;36 T;RE011
SCANIA;P310;Retroescavadeira;L/h;1;300;6;20;;;0;P310;PEDERIVA
SCANIA;P310;Caçamba Bitruck;L/h;1;300;6;20;273;;0;P310 8X2;RE599
SCANIA;R124;Cavalo;L/h;1;300;6;20;488;15.62;1;R124 GA 4X2 NZ 360;RE519
STA BARBARA CARRETÃO;R/STA;Semirreboques;Km/L;1;;;;;;0;R/STA BARBARA PL;RE 663
TOYOTA;HILUX;Automóvel;Km/L;1;80;7;20;;;0;HILUX SWSRXA4FD;RE562
TRATOR;DEVENS;Trator Esteira;L/h;1;;;;;;0;DEVENS;TRATOR3
VICTOR;E322K;Escavadeira;L/h;1;400;50;20;;;0;E322K 23,5T;RE237
VOLKSWAGEM;17-260;Caçamba Truckado;L/h;1;275;6;20;242;1.91;1;17-260 6X2;RE588
VOLKSWAGEM;24-280;Caçamba Truckado;L/h;1;275;6;20;231;6.95;1;24-280 CONSTEL. 6X2;RE584
VOLKSWAGEM;AMAROK;Automóvel;Km/L;1;80;6;20;;;0;AMAROK;*FELIPE
VOLKSWAGEM;OUTROS;Automóvel;Km/L;1;;;;600;;0;OUTROS;MAK2025
Volkswagen;14-140;Caminhão Pipa;L/h;1;275;6;20;;;0;14-140;RE185
Volkswagen;16-200;Caçamba Truckado;L/h;1;275;6;20;215;8.63;1;16-200;RE508
Volkswagen;16-300;Caçamba Truckado;L/h;1;275;6;20;234;72.13;1;16-300;RE451
Volkswagen;17-190;Caminhão Pipa;L/h;1;275;6;20;;;0;17-190 POTAVEL 9000 LTS;RE532
Volkswagen;17-260;Caçamba Truckado;L/h;1;275;6;20;242;8.16;1;17-260 6X2;RE589
Volkswagen;17-300;Caçamba Truckado;L/h;1;275;6;20;231;;0;17-300;RE101
Volkswagen;23-220;Caçamba Truckado;L/h;1;275;6;20;244;4.28;1;23-220 6X2;RE032
Volkswagen;24-250;Caçamba Truckado;L/h;1;275;6;20;236;;0;24-250 Constelattion 6x2;RE689
Volkswagen;24-260;Caçamba Truckado;L/h;1;275;6;20;227;;0;24-260 6X2 COSTELLATION;RE631
Volkswagen;25-370;Cavalo;L/h;1;275;6;20;;;0;25-370 6X2;RE285 CANOAS
Volkswagen;25-420;Caçamba Bitruck;L/h;1;275;6;20;283;;0;25-420 COSTELLATION 8X2;RE705
Volkswagen;26-260;Caçamba Bitruck;L/h;1;275;6;20;208;17.59;1;26-260 8X4;RE434
Volkswagen;31-330;Caçamba Traçado;L/h;1;275;6;20;238;12.16;1;31-330 6X4 COSTELLATION;RE610
Volkswagen;32-380;Caçamba Traçado;L/h;1;275;6;20;239;;0;32-380 CRC 6X4;RE798
Volkswagen;8-150;Caminhão Carroceria;L/h;1;;;;124;0.18;1;8-150 DELIVERY;RE449
Volkswagen;TERCEIRO;Automóvel;Km/L;1;;;;412;;0;TERCEIRO;TER2025
VOLKSWAGEN;24-260;Caçamba Truckado;L/h;1;275;6;20;236;;0;24-260 COSTELLATION 6X2;RE706
VOLKSWAGEN;24.250;Caçamba Truckado;L/h;1;275;6;20;;;0;24.250 - TER. ARAMBARÉ CLÉBI;TER. 4
VOLKSWAGEN;26-260;Caçamba Truckado;L/h;1;275;6;20;236;10.97;1;26-260 CONSTEL. 6X2;RE708
VOLKSWAGEN;26-320;Caçamba Truckado;L/h;1;275;6;20;209;8.95;1;26-320 CONSTEL. 6X2;RE639
